airline,airline ID,source airport,source airport id,destination airport,destination airport id,codeshare,stops,equipment,source coords,destination coords
AH,794,AAE,220,ALG,210,,0,738 ATR 736,"(24, 5)","(18, -13)"
AH,794,AAE,220,CDG,1382,,0,738,"(24, 5)","(60, -76)"
AH,794,AAE,220,IST,1701,,0,738,"(24, 5)","(-28, 83)"
AH,794,AAE,220,LYS,1335,,0,738,"(24, 5)","(-11, -9)"
AH,794,AAE,220,MRS,1353,,0,738,"(24, 5)","(-48, 145)"
ZI,21,AAE,220,MRS,1353,,0,319,"(24, 5)","(-48, 145)"
AH,794,AAE,220,ORN,231,,0,ATR,"(24, 5)","(-13, -134)"
AH,794,AAE,220,ORY,1386,,0,736,"(24, 5)","(36, -55)"
ZI,21,AAE,220,ORY,1386,,0,319,"(24, 5)","(36, -55)"
BA,1355,AAL,628,AAR,607,Y,0,FRJ,"(76, -149)","(22, -129)"
DY,3737,AAL,628,AGP,1230,,0,73H,"(76, -149)","(-88, 48)"
DY,3737,AAL,628,ALC,1212,,0,73H,"(76, -149)","(31, -154)"
AZ,596,AAL,628,AMS,580,Y,0,E90,"(76, -149)","(-87, -95)"
KL,3090,AAL,628,AMS,580,Y,0,EMJ F70,"(76, -149)","(-87, -95)"
SK,4319,AAL,628,ARN,737,,0,S20,"(76, -149)","(13, -78)"
IB,2822,AAL,628,BCN,1218,Y,0,320,"(76, -149)","(27, 94)"
VY,2439,AAL,628,BCN,1218,,0,320,"(76, -149)","(27, 94)"
DX,1954,AAL,628,BLL,608,,0,SF3,"(76, -149)","(5, 25)"
SK,4319,AAL,628,BLL,608,,0,319,"(76, -149)","(5, 25)"
TK,4951,AAL,628,BLL,608,,0,319,"(76, -149)","(5, 25)"
DY,3737,AAL,628,CPH,609,,0,73H AT7,"(76, -149)","(85, -135)"
SK,4319,AAL,628,CPH,609,,0,320 319 CR2 CR9 321,"(76, -149)","(85, -135)"
TK,4951,AAL,628,IST,1701,,0,319 738,"(76, -149)","(-28, 83)"
DY,3737,AAL,628,LGW,502,,0,73H,"(76, -149)","(-23, -25)"
BA,1355,AAL,628,OSL,644,Y,0,J31 FRJ,"(76, -149)","(-82, -60)"
M3,42,AAL,628,OSL,644,,0,SWM,"(76, -149)","(-82, -60)"
SK,4319,AAL,628,OSL,644,,0,73H 73G,"(76, -149)","(-82, -60)"
DY,3737,AAL,628,PMI,3998,,0,73H,"(76, -149)","(-45, -61)"
DX,1954,AAL,628,SVG,666,,0,SF3,"(76, -149)","(-15, -106)"
IX,569,AAN,5937,CCJ,3137,,0,738,"(-51, 171)","(16, -107)"
NL,4311,AAN,5937,PEW,2219,,0,734,"(-51, 171)","(-70, 81)"
S7,4329,AAQ,4353,DME,4029,,0,320,"(2, 60)","(-65, -115)"
SU,130,AAQ,4353,LED,2948,,0,320 319,"(2, 60)","(81, -171)"
SU,130,AAQ,4353,SVO,2985,,0,320 319,"(2, 60)","(-79, 47)"
BA,1355,AAR,607,AAL,628,Y,0,FRJ,"(22, -129)","(76, -149)"
FR,4296,AAR,607,AGP,1230,,0,738,"(22, -129)","(-88, 48)"
BA,1355,AAR,607,BMA,738,Y,0,FRJ,"(22, -129)","(2, 112)"
SK,4319,AAR,607,CPH,609,,0,AT7 320 CR2,"(22, -129)","(85, -135)"
BA,1355,AAR,607,GOT,687,Y,0,FRJ,"(22, -129)","(-45, -130)"
BA,1355,AAR,607,OSL,644,Y,0,FRJ,"(22, -129)","(-82, -60)"
FR,4296,AAR,607,PMI,3998,,0,738,"(22, -129)","(-45, -61)"
FR,4296,AAR,607,STN,548,,0,738,"(22, -129)","(57, 98)"
CZ,1767,AAT,6946,URC,3399,,0,73G E90,"(77, 153)","(20, 49)"
GS,690,AAT,6946,URC,3399,,0,E90,"(77, 153)","(20, 49)"
AD,13983,AAX,7395,POJ,8237,,0,AT4,"(36, -136)","(37, 144)"
FO,476,AAY,3979,SAH,3980,,0,CR7,"(72, 86)","(-86, -168)"
S7,4329,ABA,2955,DME,4029,,0,320,"(65, 22)","(-65, -115)"
IOS,2951,ABA,2955,IKT,2937,,0,AN4,"(65, 22)","(-13, 85)"
Y7,13088,ABA,2955,NSK,4352,,0,738,"(65, 22)","(-24, -172)"
SU,130,ABA,2955,SVO,2985,,0,320,"(65, 22)","(-79, 47)"
W3,20976,ABB,\N,ABV,260,,0,73G,"(78, 127)","(-6, 68)"
W3,20976,ABB,\N,LOS,273,,0,73G,"(78, 127)","(37, -10)"
B9,543,ABD,2097,MHD,4331,,0,M82,"(34, 20)","(64, -85)"
IR,2922,ABD,2097,MHD,4331,,0,100 M82,"(34, 20)","(64, -85)"
EP,2923,ABD,2097,SYZ,2157,,0,100,"(34, 20)","(-23, 109)"
B9,543,ABD,2097,THR,2131,,0,M82,"(34, 20)","(80, -157)"
EP,2923,ABD,2097,THR,2131,,0,100,"(34, 20)","(80, -157)"
IR,2922,ABD,2097,THR,2131,,0,M82 100,"(34, 20)","(80, -157)"
AF,137,ABE,4355,ATL,3682,Y,0,CRJ,"(42, -67)","(28, 49)"
DL,2009,ABE,4355,ATL,3682,,0,717,"(42, -67)","(28, 49)"
KL,3090,ABE,4355,ATL,3682,Y,0,CRJ,"(42, -67)","(28, 49)"
AA,24,ABE,4355,CLT,3876,Y,0,CR9 CR7 CRJ,"(42, -67)","(-51, -6)"
US,5265,ABE,4355,CLT,3876,Y,0,CR9 CR7 CRJ,"(42, -67)","(-51, -6)"
DL,2009,ABE,4355,DTW,3645,Y,0,CRJ,"(42, -67)","(-62, -175)"
G4,35,ABE,4355,MYR,3515,,0,M80,"(42, -67)","(34, -164)"
UA,5209,ABE,4355,ORD,3830,Y,0,ER4 ERJ,"(42, -67)","(-49, 50)"
G4,35,ABE,4355,PGD,7056,,0,M80,"(42, -67)","(53, -37)"
AA,24,ABE,4355,PHL,3752,,0,DH3,"(42, -67)","(-60, -11)"
US,5265,ABE,4355,PHL,3752,Y,0,CRJ DH8,"(42, -67)","(-60, -11)"
G4,35,ABE,4355,PIE,3617,,0,M80 320,"(42, -67)","(-20, -137)"
G4,35,ABE,4355,SFB,4167,,0,320 M80,"(42, -67)","(18, -120)"
AA,24,ABI,3718,DFW,3670,Y,0,ERD ER4 CRJ,"(-53, -53)","(45, -163)"
US,5265,ABI,3718,DFW,3670,,0,ERD ER4,"(-53, -53)","(45, -163)"
E2,20047,ABJ,253,ACC,248,,0,M82,"(0, 78)","(8, -129)"
EK,2183,ABJ,253,ACC,248,,0,77W,"(0, 78)","(8, -129)"
HF,2682,ABJ,253,ACC,248,,0,E70 319,"(0, 78)","(8, -129)"
ME,3490,ABJ,253,ACC,248,,0,332,"(0, 78)","(8, -129)"
MS,2143,ABJ,253,ACC,248,,0,738,"(0, 78)","(8, -129)"
S9,17099,ABJ,253,ACC,248,,0,143,"(0, 78)","(8, -129)"
SA,4305,ABJ,253,ACC,248,,0,332,"(0, 78)","(8, -129)"
AH,794,ABJ,253,ALG,210,,0,738,"(0, 78)","(18, -13)"
HF,2682,ABJ,253,BKO,1044,,0,319,"(0, 78)","(62, 1)"
L6,16942,ABJ,253,BKO,1044,,0,73G,"(0, 78)","(62, 1)"
2J,470,ABJ,253,BOY,247,,0,CRJ,"(0, 78)","(-90, -91)"
AC,330,ABJ,253,BRU,302,,1,333,"(0, 78)","(14, 169)"
LH,3320,ABJ,253,BRU,302,Y,0,332,"(0, 78)","(14, 169)"
SN,1531,ABJ,253,BRU,302,,0,332 333,"(0, 78)","(14, 169)"
UA,5209,ABJ,253,BRU,302,Y,0,332,"(0, 78)","(14, 169)"
AF,137,ABJ,253,CDG,1382,,0,772,"(0, 78)","(60, -76)"
AZ,596,ABJ,253,CDG,1382,Y,0,772,"(0, 78)","(60, -76)"
ET,2220,ABJ,253,CKY,4162,,0,DH8,"(0, 78)","(29, -171)"
HF,2682,ABJ,253,CKY,4162,,0,E70,"(0, 78)","(29, -171)"
AT,4248,ABJ,253,CMN,1074,,0,738 73G,"(0, 78)","(58, -133)"
DN,17094,ABJ,253,COO,245,,0,320,"(0, 78)","(33, -150)"
ET,2220,ABJ,253,COO,245,,0,73W 752,"(0, 78)","(33, -150)"
L6,16942,ABJ,253,COO,245,,0,73G,"(0, 78)","(33, -150)"
